# num_bin  t_k  T_k^day  T_k^night
42   240.0   0.0   1.6
43   242.0   12.2   5.1
43   243.0   13.9   10.1
43   244.0   13.9   10.1
43   245.0   14.0   10.0
43   246.0   14.0   10.0
43   247.0   0.0   3.9
44   247.0   10.9   5.0
44   248.0   7.9   5.0
45   252.0   3.1   4.9
45   253.0   14.2   9.8
45   254.0   14.2   9.8
45   255.0   14.2   9.8
45   256.0   14.2   9.8
45   257.0   14.2   9.8
45   258.0   0.0   3.9
46   258.0   14.3   5.3
46   259.0   14.3   9.7
46   260.0   14.3   9.7
46   261.0   14.3   9.7
46   262.0   10.0   4.8
47   264.0   14.3   8.1
47   265.0   14.4   9.6
47   266.0   0.0   1.5
48   268.0   14.4   7.3
48   269.0   14.4   9.6
48   270.0   14.4   9.6
48   271.0   14.4   9.6
48   272.0   14.4   9.6
48   273.0   0.0   0.5
49   273.0   14.4   8.3
49   274.0   14.4   9.6
49   275.0   14.4   9.6
49   276.0   14.4   9.6
49   277.0   0.0   0.9
50   278.0   14.5   7.5
50   279.0   14.5   9.5
50   280.0   14.5   9.5
50   281.0   14.5   9.5
51   283.0   9.8   4.8
51   284.0   14.4   9.6
51   285.0   14.4   9.6
51   286.0   14.4   9.6
51   287.0   14.4   9.6
51   288.0   14.4   9.6
51   289.0   0.0   2.3
52   289.0   12.3   4.8
52   290.0   14.4   9.6
52   291.0   14.4   9.6
52   292.0   6.0   4.8
53   293.0   8.3   4.8
53   294.0   14.4   9.6
53   295.0   14.3   9.7
53   296.0   14.3   9.7
53   297.0   14.3   9.7
53   298.0   1.0   4.8
54   298.0   13.2   4.8
54   299.0   14.3   9.7
54   300.0   14.3   9.7
54   301.0   14.3   9.7
54   302.0   14.2   9.8
54   303.0   0.0   0.8
55   303.0   12.0   4.9
55   304.0   14.2   9.8
55   305.0   14.2   9.8
55   306.0   14.2   9.8
55   307.0   14.1   6.9
56   307.0   0.0   2.9
56   308.0   14.1   9.9
56   309.0   14.1   9.9
56   310.0   14.1   9.9
56   311.0   14.0   10.0
56   312.0   0.0   2.5
57   312.0   3.2   5.0
57   313.0   14.0   10.0
57   314.0   14.0   10.0
57   315.0   0.1   5.0
58   329.0   8.8   5.2
58   330.0   13.5   10.5
58   331.0   13.5   10.5
58   332.0   13.4   10.6
58   333.0   13.4   10.6
58   334.0   1.0   5.3
59   334.0   12.3   5.3
59   335.0   13.3   10.7
59   336.0   13.3   10.7
59   337.0   13.3   10.7
59   338.0   0.0   0.5
60   339.0   13.2   6.6
60   340.0   13.2   10.8
60   341.0   13.1   10.9
60   342.0   13.1   10.9
60   343.0   0.0   1.7
61   344.0   4.1   5.5
61   345.0   13.0   11.0
61   346.0   12.9   11.1
61   347.0   12.9   11.1
61   348.0   12.9   11.1
61   349.0   12.8   11.2
61   350.0   0.0   1.2
62   350.0   12.8   7.9
62   351.0   12.8   11.2
62   352.0   12.7   11.3
62   353.0   12.7   11.3
62   354.0   12.6   11.4
62   355.0   0.0   0.5
63   356.0   12.6   10.8
63   357.0   12.5   11.5
63   358.0   12.5   11.5
63   359.0   12.5   11.5
63   360.0   0.0   4.5
64   360.0   12.4   7.0
64   361.0   12.4   11.6
64   362.0   12.3   11.7
64   363.0   12.3   11.7
64   364.0   12.3   11.7
