x, y
3.727532221080098, 29.76950611909254
4.231999683719459, -1.5587964978474318
4.730268047758361, -2.297682968122672
5.24561556100261, -3.0522904271271685
5.7356606309796785, 7.697237943210958
6.2422788012967505, 4.971460358922272
6.7379536649007665, 2.8116383688869604
7.232553174665929, 4.713878005127462
7.7367043567644505, -2.641126106515742
8.23845180675259, -1.7305180670439668
8.74601881869218, 3.1841048710878965
9.226765240768561, 4.368016253083738
9.73597691152052, -4.2918299230880805
10.236965288210644, 13.969912446185852
10.73320945678817, -6.596768732162722
11.239321578239899, 8.931940211870561
11.751506286075749, 13.505538625260009
12.240665770538468, 0.35190828617037084
12.745765794259508, -11.120785565713732
13.237265754724442, 9.439849078508203
13.989760417490315, 16.435689063029074
14.986992962757967, 31.29686063948145
17.490226931288053, 35.211386833067294
