# num_bin  t_k  T_k^day  T_k^night
0   21.6   9.0   11.4
0   22.5   8.8   15.2
0   23.2   2.9   7.7
1   25.5   8.1   15.5
1   26.5   7.9   16.1
1   27.5   7.7   16.3
1   28.5   7.4   16.6
1   29.0   0.0   1.2
2   37.8   0.0   9.3
2   38.5   4.9   19.1
2   39.5   4.6   19.4
2   40.2   0.0   9.2
3   40.7   4.3   10.1
3   41.5   4.0   20.0
3   42.5   3.6   20.4
3   43.5   3.2   20.8
3   44.5   2.7   21.3
3   45.5   2.2   21.6
4   46.7   1.5   13.7
4   47.5   -24.0   48.0
4   48.5   -24.0   48.0
4   49.5   -24.0   48.0
4   50.0   0.0   0.9
5   51.6   -24.0   45.2
5   52.5   -24.0   48.0
5   53.5   -24.0   48.0
5   54.5   -24.0   48.0
5   55.3   0.0   16.0
6   56.7   -24.0   36.8
6   57.5   -24.0   48.0
6   58.5   -24.0   48.0
6   59.5   -24.0   48.0
6   60.5   -24.0   48.0
6   61.1   0.0   7.1
7   61.7   -24.0   37.1
7   62.5   -24.0   48.0
7   63.5   -24.0   48.0
7   64.5   -24.0   48.0
7   65.5   -24.0   48.0
7   66.1   0.0   7.1
8   66.7   -24.0   40.6
8   67.5   -24.0   48.0
8   68.5   -24.0   48.0
8   69.5   -24.0   48.0
8   70.5   -24.0   48.0
8   71.0   0.0   1.6
9   71.5   -24.0   46.2
9   72.5   -24.0   48.0
9   73.5   -24.0   48.0
9   74.5   -24.0   48.0
9   75.5   -24.0   48.0
9   76.0   0.0   1.7
10   77.5   -24.0   45.8
10   78.5   -24.0   48.0
10   79.5   -24.0   48.0
10   80.5   -24.0   48.0
10   81.0   0.0   1.0
11   81.6   -24.0   45.5
11   82.5   -24.0   48.0
11   83.5   -24.0   48.0
11   84.5   -24.0   48.0
11   85.5   -24.0   48.0
11   86.2   0.0   9.4
12   87.6   -24.0   44.7
12   88.5   -24.0   48.0
12   89.5   -24.0   48.0
12   90.5   -24.0   48.0
12   91.0   0.0   1.4
13   91.5   -24.0   46.2
13   92.5   -24.0   48.0
13   93.5   -24.0   48.0
13   94.5   -24.0   48.0
13   95.0   0.0   0.2
14   96.6   -24.0   44.1
14   97.5   -24.0   48.0
14   98.5   -24.0   48.0
14   99.5   -24.0   48.0
14   100.5   -24.0   48.0
14   101.0   0.0   1.4
15   102.7   -24.0   37.1
15   103.5   -24.0   48.0
15   104.5   -24.0   48.0
15   105.5   -24.0   48.0
15   106.5   -24.0   48.0
15   107.2   0.0   12.0
16   107.8   -24.0   35.7
16   108.5   -24.0   48.0
16   109.5   -24.0   48.0
16   110.5   -24.0   48.0
16   111.5   -24.0   48.0
16   112.1   0.0   2.7
17   112.6   -24.0   45.0
17   113.5   -24.0   48.0
17   114.5   -24.0   48.0
17   115.5   -24.0   48.0
17   116.5   -24.0   48.0
17   117.2   0.0   8.9
18   117.7   -24.0   38.5
18   118.5   -24.0   48.0
18   119.5   -24.0   48.0
18   120.5   -24.0   48.0
18   121.5   -24.0   48.0
18   122.1   0.0   3.1
19   122.7   -24.0   38.2
19   123.5   -24.0   48.0
19   124.5   -24.0   48.0
19   125.5   -24.0   48.0
19   126.5   -24.0   48.0
19   127.0   0.0   1.3
20   128.6   -24.0   42.4
20   129.5   -24.0   48.0
20   130.5   -24.0   48.0
20   131.2   0.0   8.2
21   132.7   -24.0   38.9
21   133.5   -24.0   48.0
21   134.5   -24.0   48.0
21   135.5   -24.0   48.0
21   136.5   -24.0   48.0
21   137.5   0.0   22.9
22   138.5   -24.0   46.8
22   139.5   -24.0   48.0
22   140.5   -24.0   48.0
22   141.5   -24.0   48.0
22   142.5   -24.0   48.0
22   143.0   0.0   1.9
23   143.5   -24.0   46.1
23   144.5   -24.0   48.0
23   145.5   -24.0   48.0
23   146.5   -24.0   48.0
23   147.5   0.0   22.5
24   148.0   -24.0   25.5
24   148.5   1.5   22.5
24   149.5   2.2   21.8
24   150.5   2.7   21.3
24   151.1   0.0   4.2
25   154.7   3.2   9.8
25   155.5   4.6   19.4
25   156.5   4.9   19.1
25   157.5   5.2   18.8
25   158.0   0.0   1.5
26   158.6   5.5   13.1
26   159.5   5.8   18.2
26   160.5   6.0   18.0
26   161.5   6.3   17.7
26   162.5   6.5   17.0
27   163.6   6.8   10.7
27   164.5   7.0   17.0
27   165.5   7.2   16.8
27   166.4   7.4   13.2
28   166.9   0.0   3.1
28   167.5   7.7   16.3
28   168.5   7.9   16.1
28   169.5   8.1   15.9
28   170.5   8.4   14.8
29   172.6   8.8   12.1
29   173.5   9.0   15.0
29   174.5   9.2   14.8
29   175.5   9.4   14.6
29   176.0   0.0   0.9
30   179.7   9.4   6.9
30   180.3   6.7   6.8
31   181.8   3.8   6.7
31   182.5   10.8   13.2
31   183.5   11.0   13.0
31   184.5   11.2   12.8
31   185.5   11.4   12.2
32   186.6   11.6   10.0
32   187.5   11.8   12.2
32   188.5   12.0   12.0
32   189.5   12.1   11.9
32   190.5   12.3   11.7
32   191.3   7.2   5.7
33   191.8   5.2   5.7
33   192.5   12.8   11.2
33   193.5   13.0   11.0
33   194.5   13.2   10.8
