x, y
3.730188977623152, 11.755671649010793
4.23781924567091, -11.011947951434237
4.731659682138057, -7.974169206210995
5.24004902348383, -6.9402118705557925
5.730726654542579, 4.323271900546608
6.237028544318811, 1.4064238378561456
6.738522969874278, -0.8440961640787492
7.2294536253657, 1.2177719731050232
7.732655965841702, -6.7902578242151534
8.231177354313276, -5.9268127509311626
8.742223452202104, -1.1282832680307635
9.23878390132047, -0.746142311227203
9.734522021032657, -9.83771102404102
10.23671226377797, 7.54244666956901
10.73200759073298, -13.384607942727229
11.237993199968372, 1.0303294151792244
11.737147149521626, 4.5191796062497005
12.249078832924805, -10.787016881923279
12.734506207005614, -25.229768296812267
13.236253656993753, -7.677889034005702
13.99418834506207, 0.6663280607555819
14.990978097572548, 3.340105451555175
17.49338973669645, -27.645963333817054
