# num_bin  t_k  T_k^day  T_k^night
0   21.6   9.8   10.6
0   22.5   9.6   14.4
0   23.2   3.3   7.3
1   25.5   9.2   14.4
1   26.5   9.0   15.0
1   27.5   8.9   15.1
1   28.5   8.7   15.3
1   29.0   0.0   1.2
2   37.8   1.0   8.3
2   38.5   7.2   16.8
2   39.5   7.0   17.0
2   40.2   0.6   8.6
3   40.7   5.8   8.6
3   41.5   6.7   17.3
3   42.5   6.5   17.5
3   43.5   6.4   17.6
3   44.5   6.2   17.8
3   45.5   6.0   17.8
4   46.7   5.8   9.4
4   47.5   5.7   18.3
4   48.5   5.5   18.5
4   49.5   5.3   18.7
4   50.0   0.0   0.9
5   51.6   4.9   16.3
5   52.5   4.7   19.3
5   53.5   4.5   19.5
5   54.5   4.3   19.7
5   55.3   4.1   11.9
6   56.7   2.8   10.1
6   57.5   3.7   20.3
6   58.5   3.4   20.6
6   59.5   3.2   20.8
6   60.5   2.9   21.1
6   61.1   0.0   7.1
7   61.7   2.4   10.7
7   62.5   2.3   21.7
7   63.5   2.0   22.0
7   64.5   1.6   22.4
7   65.5   1.1   22.9
7   66.1   0.0   7.1
8   66.7   -24.0   40.6
8   67.5   -24.0   48.0
8   68.5   -24.0   48.0
8   69.5   -24.0   48.0
8   70.5   -24.0   48.0
8   71.0   0.0   1.6
9   71.5   -24.0   46.2
9   72.5   -24.0   48.0
9   73.5   -24.0   48.0
9   74.5   -24.0   48.0
9   75.5   -24.0   48.0
9   76.0   0.0   1.7
10   77.5   -24.0   45.8
10   78.5   -24.0   48.0
10   79.5   -24.0   48.0
10   80.5   -24.0   48.0
10   81.0   0.0   1.0
11   81.6   -24.0   45.5
11   82.5   -24.0   48.0
11   83.5   -24.0   48.0
11   84.5   -24.0   48.0
11   85.5   -24.0   48.0
11   86.2   0.0   9.4
12   87.6   -24.0   44.7
12   88.5   -24.0   48.0
12   89.5   -24.0   48.0
12   90.5   -24.0   48.0
12   91.0   0.0   1.4
13   91.5   -24.0   46.2
13   92.5   -24.0   48.0
13   93.5   -24.0   48.0
13   94.5   -24.0   48.0
13   95.0   0.0   0.2
14   96.6   -24.0   44.1
14   97.5   -24.0   48.0
14   98.5   -24.0   48.0
14   99.5   -24.0   48.0
14   100.5   -24.0   48.0
14   101.0   0.0   1.4
15   102.7   -24.0   37.1
15   103.5   -24.0   48.0
15   104.5   -24.0   48.0
15   105.5   -24.0   48.0
15   106.5   -24.0   48.0
15   107.2   0.0   12.0
16   107.8   -24.0   35.7
16   108.5   -24.0   48.0
16   109.5   -24.0   48.0
16   110.5   -24.0   48.0
16   111.5   -24.0   48.0
16   112.1   0.0   2.7
17   112.6   -24.0   45.0
17   113.5   -24.0   48.0
17   114.5   -24.0   48.0
17   115.5   -24.0   48.0
17   116.5   -24.0   48.0
17   117.2   0.0   8.9
18   117.7   -24.0   38.5
18   118.5   -24.0   48.0
18   119.5   -24.0   48.0
18   120.5   -24.0   48.0
18   121.5   -24.0   48.0
18   122.1   0.0   3.1
19   122.7   -24.0   38.2
19   123.5   -24.0   48.0
19   124.5   -24.0   48.0
19   125.5   -24.0   48.0
19   126.5   -24.0   48.0
19   127.0   0.0   1.3
20   128.6   -24.0   42.4
20   129.5   1.1   22.9
20   130.5   1.6   22.4
20   131.2   0.0   8.2
21   132.7   2.3   12.6
21   133.5   2.6   21.4
21   134.5   2.9   21.1
21   135.5   3.2   20.8
21   136.5   3.4   20.6
21   137.5   3.7   19.3
22   138.5   3.9   18.9
22   139.5   4.1   19.9
22   140.5   4.3   19.7
22   141.5   4.5   19.5
22   142.5   4.7   19.3
22   143.0   0.0   1.9
23   143.5   4.9   17.2
23   144.5   5.1   18.9
23   145.5   5.3   18.7
23   146.5   5.5   18.5
23   147.5   5.7   16.8
24   148.0   0.0   1.5
24   148.5   5.8   18.2
24   149.5   6.0   18.0
24   150.5   6.2   17.8
24   151.1   0.0   4.2
25   154.7   4.4   8.6
25   155.5   7.0   17.0
25   156.5   7.2   16.8
25   157.5   7.3   16.7
25   158.0   0.0   1.5
26   158.6   7.5   11.1
26   159.5   7.7   16.3
26   160.5   7.8   16.2
26   161.5   8.0   16.0
26   162.5   8.1   15.4
27   163.6   8.3   9.2
27   164.5   8.4   15.6
27   165.5   8.6   15.4
27   166.4   8.7   11.9
28   166.9   0.0   3.1
28   167.5   8.9   15.1
28   168.5   9.0   15.0
28   169.5   9.2   14.8
28   170.5   9.3   13.8
29   172.6   9.6   11.3
29   173.5   9.8   14.2
29   174.5   9.9   14.1
29   175.5   10.1   13.9
29   176.0   0.0   0.9
30   179.7   9.6   6.7
30   180.3   6.9   6.6
31   181.8   3.9   6.5
31   182.5   11.1   12.9
31   183.5   11.2   12.8
31   184.5   11.4   12.6
31   185.5   11.5   12.1
32   186.6   11.7   9.9
32   187.5   11.8   12.2
32   188.5   12.0   12.0
32   189.5   12.1   11.9
32   190.5   12.2   11.8
32   191.3   7.2   5.8
33   191.8   5.2   5.8
33   192.5   12.5   11.5
33   193.5   12.7   11.3
33   194.5   12.8   11.2
33   195.5   13.0   11.0
33   196.5   13.1   10.9
33   197.2   3.2   5.4
34   197.7   9.9   5.4
34   198.5   13.4   10.6
34   199.5   13.5   10.5
34   200.5   13.7   10.3
34   201.3   11.3   5.1
35   201.8   2.3   5.1
35   202.5   14.0   10.0
35   203.5   14.1   9.9
35   204.5   14.3   9.7
35   205.5   14.4   9.6
35   206.5   14.6   9.4
35   207.1   0.0   3.8
36   207.6   14.7   5.1
36   208.5   14.9   9.1
36   209.5   15.0   9.0
36   210.5   15.2   8.8
36   211.5   15.3   8.7
36   212.2   3.8   4.3
37   212.7   11.2   4.3
37   213.5   15.6   8.4
37   214.5   15.8   8.2
37   215.5   15.9   8.1
37   216.5   16.1   7.9
37   217.1   1.9   3.9
38   217.6   14.3   3.9
38   218.5   16.4   7.6
38   219.5   16.6   7.4
38   220.5   16.7   7.3
38   221.2   8.1   3.6
39   222.7   8.8   3.5
39   223.5   17.2   6.8
39   224.5   17.4   6.6
39   225.5   17.5   6.5
39   226.5   17.7   6.3
39   227.0   0.0   1.1
40   228.5   18.1   4.4
40   229.5   18.2   5.8
40   230.5   18.4   5.6
40   231.5   18.6   5.4
40   232.1   3.7   2.6
41   233.5   19.0   3.2
41   234.5   19.2   4.8
41   235.5   19.4   4.6
41   236.5   19.6   4.4
41   237.1   1.5   2.1
42   237.6   18.2   2.1
42   238.5   20.0   4.0
42   239.5   20.2   3.8
42   240.0   0.0   1.6
43   242.6   15.7   1.5
43   243.5   21.2   2.8
43   244.5   21.5   2.5
43   245.5   21.8   2.2
43   246.5   22.1   1.9
43   247.1   3.2   0.7
44   247.7   15.2   0.7
44   248.3   12.5   0.4
45   252.8   8.1   0.0
45   253.5   24.0   0.0
45   254.5   24.0   0.0
45   255.5   24.0   0.0
45   256.5   24.0   0.0
45   257.5   24.0   0.0
45   258.1   3.9   0.0
46   258.6   19.6   0.0
46   259.5   24.0   0.0
46   260.5   24.0   0.0
46   261.5   24.0   0.0
46   262.3   14.8   0.0
47   264.5   22.4   0.0
47   265.5   24.0   0.0
47   266.0   1.5   0.0
48   268.5   21.7   0.0
48   269.5   24.0   0.0
48   270.5   24.0   0.0
48   271.5   24.0   0.0
48   272.5   24.0   0.0
48   273.0   0.5   0.0
49   273.5   22.8   0.0
49   274.5   24.0   0.0
49   275.5   24.0   0.0
49   276.5   24.0   0.0
49   277.0   0.9   0.0
50   278.5   22.0   0.0
50   279.5   24.0   0.0
50   280.5   24.0   0.0
50   281.5   24.0   0.0
51   283.7   14.6   0.0
51   284.5   24.0   0.0
51   285.5   24.0   0.0
51   286.5   24.0   0.0
51   287.5   24.0   0.0
51   288.5   24.0   0.0
51   289.0   2.3   0.0
52   289.6   17.1   0.0
52   290.5   24.0   0.0
52   291.5   24.0   0.0
52   292.2   10.8   0.0
53   293.7   13.1   0.0
53   294.5   24.0   0.0
53   295.5   24.0   0.0
53   296.5   24.0   0.0
53   297.5   24.0   0.0
53   298.1   5.9   0.0
54   298.6   18.1   0.0
54   299.5   24.0   0.0
54   300.5   24.0   0.0
54   301.5   24.0   0.0
54   302.5   24.0   0.0
54   303.0   0.8   0.0
55   303.6   16.9   0.0
55   304.5   24.0   0.0
55   305.5   24.0   0.0
55   306.5   24.0   0.0
55   307.4   21.1   0.0
56   307.9   2.9   0.0
56   308.5   24.0   0.0
56   309.5   24.0   0.0
56   310.5   24.0   0.0
56   311.5   23.5   0.5
56   312.1   1.9   0.6
57   312.8   7.5   0.6
57   313.5   22.2   1.8
57   314.5   21.9   2.1
57   315.1   3.9   1.2
58   329.7   11.3   2.8
58   330.5   18.3   5.7
58   331.5   18.1   5.9
58   332.5   17.9   6.1
58   333.5   17.8   6.2
58   334.1   3.1   3.2
59   334.6   14.4   3.2
59   335.5   17.4   6.6
59   336.5   17.2   6.8
59   337.5   17.1   6.9
59   338.0   0.0   0.5
60   339.6   16.2   3.6
60   340.5   16.6   7.4
60   341.5   16.4   7.6
60   342.5   16.3   7.7
60   343.0   0.0   1.7
61   344.8   5.5   4.0
61   345.5   15.8   8.2
61   346.5   15.7   8.3
61   347.5   15.5   8.5
61   348.5   15.4   8.6
61   349.5   15.2   8.8
61   350.0   0.0   1.2
62   350.6   15.1   5.7
62   351.5   14.9   9.1
62   352.5   14.8   9.2
62   353.5   14.6   9.4
62   354.5   14.5   9.5
62   355.0   0.0   0.5
63   356.5   14.2   9.2
63   357.5   14.0   10.0
63   358.5   13.9   10.1
63   359.5   13.7   10.3
63   360.1   0.0   4.5
64   360.6   13.6   5.9
64   361.5   13.4   10.6
64   362.5   13.3   10.7
64   363.5   13.1   10.9
64   364.5   13.0   11.0
64   365.0   0.0   0.7
65   365.7   11.1   5.6
65   366.5   12.7   11.3
65   367.5   12.6   11.4
65   368.5   12.4   11.6
65   369.5   12.3   11.7
65   370.1   1.0   5.9
66   370.7   10.9   5.9
66   371.5   12.0   12.0
66   372.5   11.8   12.2
66   373.5   11.7   12.3
66   374.4   10.7   6.2
67   375.5   11.4   10.6
67   376.5   11.3   12.7
67   377.5   11.1   12.9
67   378.5   11.0   13.0
67   379.5   10.8   13.2
67   380.4   10.7   9.8
68   381.5   10.5   13.1
68   382.5   10.4   13.6
68   383.5   10.3   13.7
68   384.3   8.6   6.9
69   384.8   1.3   6.9
69   385.5   10.0   14.0
69   386.5   9.8   14.2
69   387.5   9.7   14.3
69   388.5   9.5   14.5
69   389.5   9.4   14.6
69   390.0   0.0   1.5
70   390.6   9.2   11.4
70   391.5   9.1   14.9
70   392.5   8.9   15.1
70   393.5   8.8   15.2
70   394.5   8.6   15.4
70   395.1   0.0   5.1
71   395.6   8.5   8.3
71   396.5   8.3   15.7
71   397.5   8.2   15.8
71   398.5   8.0   16.0
71   399.3   7.6   8.1
72   399.8   0.0   8.1
72   400.5   7.7   16.3
72   401.5   7.5   16.5
72   402.5   7.4   16.6
72   403.5   7.2   16.8
72   404.5   7.1   16.9
72   405.3   5.2   8.6
73   405.8   1.4   8.6
73   406.5   6.7   17.3
73   407.5   6.6   17.4
73   408.5   6.4   17.6
73   409.5   6.2   17.8
73   410.5   6.1   17.9
73   411.0   0.0   0.2
74   411.5   5.9   17.6
74   412.5   5.7   18.3
74   413.5   5.5   18.5
74   414.5   5.3   18.7
74   415.4   5.2   15.7
75   415.9   0.0   2.8
75   416.5   5.0   19.0
75   417.5   4.8   19.2
75   418.5   4.6   19.4
