x, y
0.3072812896214454, 11.164375128257745
0.9083046549538127, 15.670018469115535
1.5231615649338888, 28.865175456597576
2.132818631890358, 67.52062384568028
2.737864517297591, 70.2113687666735
3.358117490792731, 67.52472809357685
3.9568843204733444, 68.85778781038374
4.568405482098654, 70.8975990149805
5.183752943307372, 79.85799302277857
5.784972529131196, 80.24625487379437
6.403851959186138, 80.30289349476708
7.007328080661716, 80.56474451056843
7.619536014007124, 80.71824338190027
8.232430719072632, 80.978452698543
8.835416289319568, 81.1368766673507
9.446054458733322, 81.17299404884055
10.060322707239028, 83.84732197824748
10.665662923383445, 83.69792735481222
11.270414478053493, 83.74307408167454
11.886056269999397, 83.74471578083316
12.493456801304111, 83.56659142212189
13.113121113324882, 83.62240919351528
13.720815975366781, 83.53211573979068
14.326058081265472, 83.53211573979068
14.940031999033993, 83.30391955674122
15.544194892229669, 83.22922224502359
16.153557628448954, 83.17504617278884
16.769886192114956, 83.07900677200902
17.377188613173942, 82.9706546275395
17.980370403912335, 82.74984609070387
18.603174243796413, 82.64888159244818
19.202627845197128, 82.8417812435871
